Guru,Bhajan,Meaning
Guru,"Aadi Divya Jyothi Mahaa Kaali Maa Namo 
Devi Shakthi Mahaa Shakthi Kaali Maa Namo 
Kaali Maa Namo, Sathya Sai Maa Namo 
Shringa Shaila Vaasini Kaali Maa Namo 
Sankata Haarini Mangala Kaarini Kaali Maa Namo 
Kaali Maa Namo, Sathya Sai Maa Namo","Oh Eternal, Effulgent Divine Light, Great Goddess Kaali, Oh
Great Power, dweller of the snow-clad mountain tops, You have 
guarded us against pain and misery; You have brought auspiciousness 
into our lives. You are called by the name Kaali. You are also 
called by the name Sai. We bow to Thee, Divine Mother Sai."
Guru,"Aananda Mayi Brahma Mayi 
Aananda Mayi Brahma Mayi 
Athulitha Saundarya Roopini 
Aananda Mayi Brahma Mayi","Oh blissful One, Oh absolute One; Oh blissful One, Oh absolute One; whose Form is unsurpassed Beauty;
Oh blissful One, Oh absolute One"
Guru,"Akhilaandeshwari Amba Parameshwari 
Sakala Jagat Ko Paalaya Maa 
Sab Sukha Daayini Kashta Nivaarini 
Vibhuda Vilaasini Paalaya Maa 
Paalaya Maa Sai Paalaya Maa (2)","Oh Goddess of the universe, please protect the whole world.
You are the Goddess who gives mankind its happiness. You are the 
Goddess who removes pain and misery from all living creatures. 
You are the all-pervading Goddess. Protect us Mother. "
Guru,"Akhilaandeshwari Maa 
Jaya Maa Jaya Maa Jaya Jaya Maa ..(Akhilandeshwari Maa) 
Sai Shubhankari Hey Parameshwari (2) 
Parthipureeshwari Maa 
Annapoorneshwari Hey Jagadeeshwari 
Krupa Karo Maa Dayaa Karo (2) 
Krupa Karo Maa Raksha Karo","Oh Mother, You who reigns over the universe, Victory to Thee! Oh Mother Sai You always
bring auspiciousness into our lives; You always give everything in 
plenty; We adore Thee. Please give us Your Grace and protection."
Guru,"Akhilaandeshwari Raajaraajeshwari 
Durgabhavaani Naaraayani 
Mahamaaya Shiva Shakthi Swaroopini 
Veda Vilaasini Naaraayani","Goddess of the Universe! The Queen of all Goddesses!
Durga, Bhavaani and Naaraayanai are all different appellations 
for Parvathi, the Shakthi/feminine aspect of Godhead; 
You weave the web of Maya; You are the form of Shiva Shakthi; 
You are resplendent as the Vedas, Oh Naaraayani!"
Guru,"Amba Manda Haasa Vadani Manohari Sai Jagat Janani 
Matha Matha Matha Jagat Janani 
Jagat Janani Shubha Karini 
Sathya Sai Jagan Matha","Worship the auspicious Mother of the Universe, Mother Sai and
Amba who has an enchanting face with a charming smile."
Guru,"Amba Matha Jagan Matha Veera Matha Sathya Prema Matha 
Amba Mayi Jagan Mayi, Veera Mayi Sathya Prema Mayi","Oh Divine Mother, Oh Mother of the World! Oh valorous Mother, You give us eternal Truth and divine Love"
Guru,"Amba Parameshwari Akhilaandeshwari 
Aadi Para Shakti Palayamaam 
Tribhuvaneshwari Raajaraajeshwari 
Ananda Roopini Paalayamaam","Oh Goddess Amba (Parvati) Oh Divine Mother of the entire
creation! Oh Queen of the Universe! Thy form is bliss. Thou art 
the nourisher, sustainer and protector."
Guru,"Amba Shankari Sashi Shekhari Parameshwari Amba 
Sarveshwari Jagadeeshwari Parameshwari Amba 
Sundari Guna Manjari Shiva Shankari Amba 
Kaadambari Shwetambari Hari Sodari Amba","Oh Mother, Consort of Shankar, Giver of Bliss, Thou art the universal Mother
Thou art the Cause of all and Queen of this world, Oh Mother 
Beautiful beyond words, Thou art the Repository of all traits and dearest to Lord Shiva 
Universal Effulgence emanates from You and being the ultimate Power, You are clad in brilliant white 
The Sister of Hari, Oh Mother of the universe, Oh Mother!"
Guru,"Ambey Bhavani Maa Jai Ambey Gauri Sai Maatha 
Kasht Nivaaro Maiyya Bhakth Janonke 
Sankatahaarani Maa Jai Ambey Gauri Sai Maatha 
Kasht Nivaaro Maiyya Bhakt Janonkey 
Parthipuri Sai Maa Jai Ambey Gauri Sai Maatha 
Prem Bhaav Sey Pooja Karey Theree","Victory to Mother Bhavani, Mother Sai. We pray to You with love.
Kindly remove the difficulties of Your devotees, Oh Mother"
Guru,"Ambey Janani Abhiraami 
Abhayapradaayini Shiva Kaami 
Ambey Janani Abhiraami 
Shaambhavi Shankari Sarveshwari 
Shaantha Swaroopini Shiva Shankari 
Sathya Swaroopini Sai Maatha 
Shaashwatha Ananda Daayini Maatha","Hey Mother Ambe (Parvathi); The One who gives protection, Parvathi;
Shambhavi, Shankari (Appellations of Parvathi), the supreme Goddess; 
The embodiment of peace, Parvathi; The embodiment of Truth, Mother Sai; 
The Mother who bestows ever lasting happiness"
