Guru,Bhajan,Meaning,
Guru,"Aaj Guru Poornima Aaj Guru Poornima 
Jaya Jaya Jaya Jaya Sadguru Deva 
Jaya Jaya Jaya Jaya Shree Sai Deva 
Aaj Guru Poornima Aaj Guru Poornima 
Pranava Swaroopa Devadi Deva 
Jnana Pradayaka Jaya Guru Deva 
Jaya Guru Deva Shree Sai Deva 
Mangala Mangala Jaya Guru Deva 
Mangala Mangala Shree Sai Deva","Today is Guru Poornima; Victory to the noble Perceptor; Victory to Thee, Oh Lord Sai
Oh Lord of Lords present in the Primal Form, the bestower of Knowledge, victory 
to the Divine Teacher. Victory to Lord Sai who bring auspiciousness",
Guru,"Aaj Guru Poornima Aaj Guru Poornima 
Deva Maheshwara Tawa Charanam 
Ananda Guru Dev Sadguru Dev 
Ashrita Vatsala Sai Guru Dev 
Aapad Bandhava Sadguru Dev 
Mangala Karaka Moksha Vidayaka 
Mukthi Pradayaka Sadguru Dev 
Sharanam Sharanam Tawa Charanam (2X)","Today is Guru Poornima, Oh Lord Maheshwara (Shiva), The Blissful Divine Teacher, the noble Perceptor;
The One who protects (those) taking refuge in Him; The friend who protects in times of danger; 
The One bestowing auspiciousness and Liberation; We surrender at Thy (Lotus) Feet",
Guru,"Aananda Guru Naathha Ramana Aananda Guru Naathha 
Brahmaanada Guru Naatha Ramana Aananda Guru Naathha 
Nithyaananda Guru, Brahmananda Guru 
Naathha Ramana Aananda Guru Naathha 
Satchidaananda Guru, Nithyananda Guru, Brahmananda Guru 
Naathha Ramana Aananda Guru Naathha 
Nithyaananda Guru Naathha Ramana Aananda Guru Naathha","The enchanting, blissful Lord and Perceptor; The perceptor who is in
supreme bliss; The perceptor who is in ever lasting bliss; The One who is 'existence, Knowledge and Bliss'",
Guru,"Bhajo Bhayi Bahan Guru Naam 
Bhajo Sai Charan Sukha Dham 
Mukthi Pradayaka Moha Vidooraka 
Bhaktha Parayana Sai Naam","Chant the name of the revered Teacher, my brothers and sisters;
Chant at the Lotus Feet of Sai, the place that grants happiness; 
Bestower of Liberation, the One who dispels desires; The friend of devotees, Thou art Sai Ram",
Guru,"Bhajorey Maanasa Guru Charanam 
Sad Guru Charanam Bhava Bhaya Haranam 
Sachidananda Paramaananda 
Sad Guru Sai Guru Charanam 
Sai Guru Brahma Sai Guru Vishnu 
Sai Guru Devo Maheshwara 
Sai Guru Saakshaat Parabrahma 
Sad Guru Sai Naama Japo (2)","O mind, dwell on the Lotus Feet of the Divine Teacher Sai. Your
cares and worries will be washed off. Dwell on the Lotus feet of 
that Omnipresent, Omnipotent Divine Consciousness, that Most 
Blissful One, Sai, who is none other than Brahma, Vishnu and 
Maheshwara. He is verily the universal absolute God. Chant His sacred name.",
Guru,"Bhajorey Sadguru Sai Charanam 
Paavan Charanam, Padmadal Charanam 
Mukthi Daayaka Mohana Charanam 
Paapa Vinaashaka Partheesha Charanam","Worship the holy and pleasing to look at and touch, the Lotus
Feet of Lord Sai Baba of Parthipuri. They grant liberation and destroy sins.",
Guru,"Brahmaananda Guru Premaananda Guru 
Sai Guru Deva Sharanam 
Bhajo Shankara Hari Hara Sharanam 
Vishwanaatha Deva Gauri Manohara 
(Sathya) Sai Naathha Baba Parameshwara 
Bhajo Shiva Shambho Shiva Sharanam","We surrender to our Guru and Lord Sai, Who is the Embodiment of love and bliss
Chant the Name of Shiva, Who is Lord of the universe and the Lord of Gauri 
Surrender to our Guru, The supreme Lord Shiva Sai",
Guru,"Dattha Guru Dattha Guru Datthathreya Guru 
Sai Naathha, Deena Naathha, Brahma Roopa Guru 
Alakha Niranjana Bhava Bhaya Bhanjana Datthathreya Guru 
Datthathreya Guru, Sai Naathha Guru, Dina Naathha Guru","Chant the Holy names of Noble Teacher Datthathrey and Lord Sai
Nath. Reciting ever pure and spotless names of Lord Datthathrey 
and Lord Sai Nath destroys the fear and bondage of birth and death.",
Guru,"Deva Deva Sai Deva Chidaananda Sadguru 
Mahaananda Paramaananda Sathya Sai Sadguru 
Varada Hastha Sadguru Parama Shaantha Sadguru 
Patitodhaara Jagatodhaara Sathya Sai Sadguru 
Sathya Sai Sadguru Sathya Sai Sadguru","Hey Lord Sai, Lord of Lords, the blissful noble perceptor; Hey Sathya Sai, Thou art the noble perceptor;
You are 'Existence - Knowledge - Bliss'; You grant boons; You bestow peace; 
You are the uplifter of the fallen; You are the uplifter of the Universe; 
Oh great noble teacher, Sathya Sai!",
Guru,"Guru Baba Guru Baba 
Charana Namosthuthe Guru Baba 
Sai Baba Baala Baba 
Sathya Baba Prema Baba 
Guru Vara Guru Vara Guru Baba 
Vidya Daayaka Guru Baba 
Shaanta Swaroopa Guru Baba 
Guru Vara Guru Vara Guru Baba","Sai Baba, our Lord and Teacher; Bow to Baba's feet, chant his
name; Lord of truth and love; Guru who bestows knowledge; Baba, 
the very embodiment of peace; Baba, the most precious teacher.",
Guru,"Guru Bhagawaan Guru Bhagawaan 
Guruvara Guruvara Sai Bhagawaan 
Guru Brahma Guru Vishnu 
Guru Devo Maheshwara 
Guru Devo Shiradeeshwara 
Guru Devo Partheeshwara","Hey Bhagawaan (Lord), the Perceptor (Teacher); Hey Lord Sai, Thou art verily the perceptor;
Thou art the perceptor in the various forms of 
Divine Maheshwara (the chief of Gods - Shiva), Lord of Shirdi and Lord of Puttaparthi",
Guru,"Guru Bhagawaan Shree Sai Ram 
Parthi Niranjana Sai Bhagawaan 
Patitodhaara Parthi Vihaara 
Parama Dayaakara Sai Bhagawaan 
Mangala Karo Parabhu Mangala Dhaama 
Moksha Vidhaayaka Sai Bhagawaan","O divine teacher Sai, purest of pure, savior of sinners, O kind and
gracious God, please bring auspiciousness into our lives, O ocean of auspiciousness.",
Guru,"Guru Brahma Guru Vishnu 
Guru Deva Maheshwara 
Jaya Deva Guru Deva Jaya Sathya Sayeeshwara 
Jai Jai Jai Karunaakara 
Jai Jai Jai Akhileshwara 
Jai Jai Jai Shirdeeshwara 
Jai Jai Jai Partheeshwara","Oh Divine perceptors in the form of Brahma, Vishnu and Shiva,
Victory to Thee Divine perceptor, Victory to Lord Sai, 
Victory to the merciful One, Victory to the Lord of the Universe, 
Victory to the Lord of Shirdi, Victory to the Lord of Parthi",
Guru,"Guru Dev Guru Dev 
Sathya Dharma Shanti Prema Sub Ko Deejo 
Sathya Dharma Shanti Prema Swaroopa Aap Hai 
Sathya Dharma Shanti Prema Jeevan Ka Marma Hai","O Supreme Noble Teacher Sai! Guide us along the path of Truth,
Righteousness, Bliss and Love. Thou art the embodiment of 
Truth, Righteousness, Bliss and Love and these four are the secret meaning of a successful life.",
Guru,"Guru Dev Guru Dev Guru Dev Guru Dev 
Parthipureeshwara Sathya Sayeeshwara 
Jaya Jagadeeshwara Jaya Parameshwara...(Guru Dev) 
Hrudaya Vihaari Sai Muraari 
Yuga Avathaari Bhava Bhaya Haari 
Parthi Vihaari Prabhu Giridhaari","O Divine Teacher that dwelleth in Puttaparthi, O Sathya Sai, Lord
of the universe, indweller in human hearts, O Sai Krishna, 
Incarnation of the present age, O Saviour, let us chant Thy Divine Name.",
Guru,"Guru Deva Guru Deva 
Guruvayur Pura Hari Deva 
Hari Narayana, Hari Narayana 
Sharanam Sharanam Sai Deva","O Lord Sai Narayan! Lord of Guruvayur! Thou art the destroyer of
demon Mura. Please protect me, I have come to Thy refuge).",
Guru,"Guru Deva Guru Deva Shree Sai Deva 
Guru Deva Guru Deva Sadguru Deva 
Jnana Pradaayaka Moksha Vidaayaka 
Guru Deva Guru Deva Sadguru Deva 
Paapa Vinaashaka Paavana Kaaraka 
Guru Deva Guru Deva Sadguru Deva 
Guru Deva Guru Deva Shree Sai Deva","Oh Divine Perceptor, Oh Divine Sai! Oh Divine Perceptor, Oh noble Perceptor!
You are the bestower of wisdom and the One who grants Liberation 
You are the Divine and noble Perceptor. 
You are the destroyer of sins, You are the One who can purify us, Oh Divine, Noble Perceptor, Oh Divine Sai",
Guru,"Guru Deva Guru Govinda 
Mangala Giridhara, Shirdi Pureeshwara 
Jaya Partheeshwara Sai Shiva 
Mangala Roopa Shree Sai Deva (2) 
Vaidehi Mohana Narayana (2)","Chant the name of Lord of Lords, Lord of Parthi, Lord Sai who
confers auspiciousness, the One who was the consort of Seetha (Rama",
Guru,"Guru Deva Jaya Deva 
Sharanam Sharanam Sai Deva Deva 
Sharanam Sharanam Sadguru Deva 
Pranava Swaroopa Devadhi Deva 
Jnana Pradayaka Jagadguru Deva 
Sharanam Sharanam Sai Deva Deva 
Sharanam Sharanam Sadguru Deva","Glory to our guru, our God of Gods, Surrender to Lord Sai,
embodiment of Om, Lord of the Universe, supreme granter of wisdom",
