Title,Deity,Level,Tempo,Language,Raga
Ai no Kami Sathya Sai Shirdi Sai Prem Sai,sarva dharma,intermediate,medium slow,japanese,harmonic minor
"Ai wa Kami, Kami wa Ai",sarva dharma,advanced,slow,japanese,major (jog)
Allah Allah Karo Pukar,sarva dharma,simple,medium fast,sanskrit / hindi,natabhairavi
Allah Allah Sai Baba,sarva dharma,simple,medium fast,sanskrit / hindi,natabhairavi
Allah Bhajo Maulah Bhajo Hey Allah Sai Bhagawan,sarva dharma,intermediate,medium fast,sanskrit / hindi,~ keeravani
Allah Enbargal Silapergal,sarva dharma,intermediate,medium slow,tamil,vakulabharanam / basant mukhari
Allah Eshwar Ek Hi Naam,sarva dharma,intermediate,medium,sanskrit / hindi,shubha pantuvarali / miyan ki todi
Allah Eshwar Ek Hi Naam,"sarva dharma, guru",,,sanskrit / hindi,
Allah Eshwar Terey Naam Karuna Sindhu Sai Ram,sarva dharma,intermediate,medium slow,sanskrit / hindi,mayamalavagowla / bhairav
Allah Eshwar Tu,sarva dharma,intermediate,medium,sanskrit / hindi,natabhairavi
"Allah Ho Akbar, Allah Ho Akbar, Allah Ho Akbar",sarva dharma,intermediate,medium fast,sanskrit / hindi,chakravakam / ahir bhairav
Allah Ho Akbar Sai Ram Maulah Ho Akbar Sai Ram,sarva dharma,,,sanskrit / hindi,sindhu bhairavi / bhairavi
Allah Ho Akbar Tum Ho Sai,sarva dharma,advanced,medium slow,sanskrit / hindi,shivaranjani
Allah Ho Tum Eshwar Bhi Tum Mahavir Nanak Ram,sarva dharma,advanced,medium,sanskrit / hindi,pahadi
Allah Jehovah Jesus Christ Our Lord,sarva dharma,intermediate,medium fast,english,minor (natabhairavi)
Allah Kaho Chahey Eshwar Kaho,sarva dharma,,,sanskrit / hindi,sindhu bhairavi / bhairavi
"Allah, Mazda, Jehovah, What Shall I Call Thee",sarva dharma,,,english,
Allah Naam Bhajo Bhajorey Bhajo Maulah Naam Bhajo Bhajorey Bhajo,sarva dharma,intermediate,medium fast,sanskrit / hindi,dharmavati
Allah Naam Tero Naam Sai Naam Ek Hi Naam,sarva dharma,,,sanskrit / hindi,
Allah Sai Allah ,sarva dharma,intermediate,fast,sanskrit / hindi,chakravakam / ahir bhairav
Allah Sai Bolo Maulah Sai Bolo,sarva dharma,simple,medium fast,sanskrit / hindi,mishra pahadi
Allah Sai Maulah Sai,"sarva dharma, guru",advanced,medium slow,sanskrit / hindi,yaman kalyan
Allah Tero Naam Sai Maulah Tero Naam,sarva dharma,advanced,slow,sanskrit / hindi,~ charukeshi
Allah Tum Ho Eshwar Tum Ho,sarva dharma,intermediate,medium fast,sanskrit / hindi,natabhairavi
Allah Yeshu Sai Ram,sarva dharma,intermediate,medium slow,sanskrit / hindi,~ madhuvanti
Allah Yesu Buddha Deva Andaru Neevey,sarva dharma,intermediate,medium slow,telugu,mishra shivaranjani
Allah Yesu Niyanro,sarva dharma,intermediate,medium,tamil,simhendramadhyamam
Anata to Hitotsu ni Naritakute O Sai,sarva dharma,intermediate,medium fast,japanese,major (shankarabharanam / bilawal)
"As the sun shines on the lotus of my heart, as it blossoms day by day",sarva dharma,simple,medium,english,major (shankarabharanam / bilawal)
Asathoma Sath Gamaya,sarva dharma,simple,slow,,shankarabharanam / bilawal
