Deity,Name,Meaning,
Shiva,Shivay,Always Pure,
Shiva,Maheshwar,Lord of gods,
Shiva,Shambhu,One Who Bestows Prosperity,
Shiva,Pinakine,One Who Has A Bow In His Hand,
Shiva,Shashi Shekhara,The God Who Wears The Crescent Moon In His Hair,
Shiva,Vamadev,The God Who Is Pleasing And Auspicious In Every Way,
Shiva,Virupaksha,Lord Shiva With Oblique Eyes,
Shiva,Kapardi,The Lord With Thickly Matted Hair,
Shiva,Nilalohita,The one with Red & Blue color,
Shiva,Shankar,One Who Gives Happiness And prosperity,
Shiva,Shulpani,The One Who Carries A Trident,
Shiva,Khatvangi,The God Who Carries A Knurled Club (Khatvanga),
Shiva,Vishnuvallabh,The One Who Is Dear To Lord Vishnu,
Shiva,Shipivishta,The Lord Whose Form Emits Great Rays Of Light,
Shiva,Ambikanath,Consort of Ambika (Parvati),
Shiva,Srikantha,Of glorious neck,
Shiva,Bhaktvatsal,The One Who Is Favourably Inclined Towards His Devotees,
Shiva,Bhava,The god who is existence itself,
Shiva,Sharva,Remover Of all troubles,
Shiva,Trilokesh,The Lord Of All three Worlds,
Shiva,Shitikantha,The Lord Who has White Neck,
Shiva,Shivapriya,Beloved Of parvati,
Shiva,Ugra,The One Who Has Extremely Fierce Nature,
Shiva,Kapali,One Who Wears A Necklace Of Skulls,
Shiva,Kamari,Enemy Of Kamdeva,
Shiva,Andhakasura Sudan,The Lord Who Killed Andhaka Asura,
Shiva,Gangadhar,The God Who holds Ganges River In His Hairs,
Shiva,Lalataksha,One Who has an Eye In his forehead,
Shiva,kalakal,He is the death Of Ocean,
Shiva,Krupanidhi,The God Who Is The Treasure Of Compassion,
Shiva,Bheema,The One Who has fearful Form,
Shiva,Parashuhasta,The God Who hold axe In hands,
Shiva,Mrigpaani,The God Who holds deer in Hands,
Shiva,Jatadhar,The God Who Keeps Tress (Jata),
Shiva,Kailashwasi,Native Of Kailasha,
Shiva,kawachi,The God Who Possess Armour,
Shiva,Kathor,The God who has Strong Body,
Shiva,Tripurantak,The God Who Killed Tripurasura,
Shiva,Vrishank,The God Who Has A Flag With A Symbol Of Bull,
Shiva,Vrushabharudha,The One Who Rides Bull,
Shiva,Bhasmodhulitavigrahaya,The One Who Applies Ashes All Over The Body,
Shiva,Sampriya,The One Who Loves With Equality,
Shiva,Swarmayi,The God Who Lives In All Seven Notes,
Shiva,Traymurti,The One Who is Combination of Three God,
Shiva,Anishawara,The One Who Does Not Have Any Lord,
Shiva,Sarvagya,The One Who Knows Everything,
Shiva,Parmatma,Everyone's Own Soul,
Shiva,Somasuryaagnilochana,"The One Who Has Eyes In The Form Of Sun, Moon And Fire",
Shiva,Havi,He Who Is Wealthy In The Form Of Ahuti,
Shiva,Yagyamaya,The Architect Of All Sacrificial Rites,
Shiva,Soma,The One Who Includes The Form Of Uma,
Shiva,Panchavaktra,God Of The Five Activities,
Shiva,Sadashiva,The One Who Is Eternally Auspicious,
Shiva,Vishveshwara,Lord Of The Universe,
Shiva,Veerabhadra,"Who Is Violent , Yet Peaceful",
Shiva,Gananatha,God Of The Ganas,
Shiva,Prajapati,The One Who Is The Creator Of Dynasty,
Shiva,Hiranyareta,The One Who Emanates Golden Souls,
Shiva,Durdharsha,The One who Is Unconquerable,
Shiva,Girisha,Lord Of Mountains,
Shiva,Girisha,The God Who Sleeps On Kailash Mountain,
Shiva,Anagha,He Who Is Pure,
Shiva,Bujangabhushana,Lord Adorned With Golden Snakes,
Shiva,Bharga,Lord Who Ends All Sins,
Shiva,Giridhanva,God Whose Weapon Is A Mountain,
Shiva,Giripriya,Lord Who Is Fond Of Mountains,
Shiva,krittivasaa,God Who Wears Clothes Of Elephant Skin,
Shiva,Purarati,"Destroyer OF Town Or ""Pur"" Named Enemy",
Shiva,Bhagwaan,God Of Prosperity,
Shiva,Pramathadhipa,God Who Is Served By Goblins,
Shiva,Mrityunjaya,Victor Of Death,
Shiva,Sukshamatanu,God Who Has A Subtle Body,
Shiva,Jagadvyapi,God Who Lives In The World,
Shiva,Jagadguru,Guru Of All The Worlds,
Shiva,Vyomakesha,Whose Hair Spreads In The Sky,
Shiva,Mahasenajanaka,Father Of Kartikya,
Shiva,Charuvikrama,The Guardian Of Wandering Pilgrims,
Shiva,Rudra,The One Who Gets Sad By The Pain Of Devotees,
Shiva,Bhootapati,Lord Of Panchabhoota Or Bhootapreta,
Shiva,Sthanu,Firm And Immovable Deity,
Shiva,Ahirbhudhanya,The One Who Possess Kundalini,
Shiva,Digambara,The God Whose Robes Is The Cosmos,
Shiva,Ashtamurti,Lord Who Has Eight Forms,
Shiva,Anekatma,The God Who Possess Many Forms,
Shiva,Satvika,Lord Of Boundless Energy,
Shiva,Shuddhavigraha,Lord Of Pure Soul,
Shiva,Shashvata,Lord Who Is Eternal And Endless,
Shiva,Khandaparshu,Lord Who Wears Broken Axe,
Shiva,Aja,The One Who Is Boundless,
Shiva,Pashvimochana,Lord Who Releases All Fetters,
Shiva,Mrida,The Lord Who Shows Only Mercy,
Shiva,Pashupati,Lord Of Animals,
Shiva,Deva,Lord Of Devas,
Shiva,Mahadeva,Greatest Of The Gods,
Shiva,Avayaya,The One Who Never Subject To Change,
Shiva,Hari,Same As Lord Vishnu,
Shiva,Bhagnetrabhid,The Lord Who Damaged Bhaga's Eye,
Shiva,Avayayat,Shiva Who Is Unseen,
Shiva,Dakshadhwarahara,Destroyer Of Daksha's Conceited Sacrifice (Yagya),
Shiva,Har,The Lord Who Dissolves All Bondage And Sins,
Shiva,Pushadantabhit,One Who Punished Pushan,
Shiva,Avyagra,Lord Who Is Steady And Unwavering,
Shiva,Sahsraksha,One Who Has Limitless Forms,
Shiva,Sahasrapada,The Lord Who Is Standing And Walking Everywhere,
Shiva,Apavargaprada,Lord Who Gives And Takes All Things,
Shiva,Ananta,The One Who Is unending,
Shiva,Taraka,The Lord Who Is Great Liberator Of Mankind,
Shiva,Parameshwara,The Great God,
Devi,Ananta,The Infinite,
Devi,Anaghaa,She Who Is Pure,
Devi,Agyangocharaa,Remover Of Agyana,
Devi,Aadishakti,The Primeval Power,
Devi,Kamala,Name of laxmi ,ॐ कमलायै नमः।
Devi,Daridyaharini,Remover of Poverty,
Devi,Durga,Invicible One,
Devi,Narayani,"Narayana""s Wife",
Devi,Padmavasini,She who lives in lotus,
Devi,Brahmandharini,One who hold Cosmos with her power,
Devi,Mahamaya,Supreme Divine Power Of Illusion,
Devi,Mahalaxmi,"Supreme Goddess Of Fortune, Wealth",
Devi,Mahadevi,Great Goddess,
Devi,Mahavidya,Supreme Goddess Of Vidya,
Devi,Mahasarswati,"Supreme Goddess Of Knowledge, Bliss",
Devi,Bhagwati,Goddess Counterpart Of Shiva,
