Deity,Bhajan,Meaning
Ganesha,"Aadi Pujya Deva Gajananaa 
Gaurihara Tanaya Shubhaanana 
Vighna Vinashaka Siddhi Vinayaka 
Jaya Jaga Vandana Thava Charanam","Oh, Lord Gajanana, darling son of Gauri who destroys
obstacles and confers success. Entire creation pays obeisance and worship Thy Feet."
Ganesha,"Amba Bhavani Shiva Shambhu Kumaara 
Shree Gana Naathha Shaantakara 
Purana Purushaa Sathya Sai Naathha 
Pranava Swaroopa Partheesha","Beloved Son of Shivaa and Parvati; O Lord Ganesha, Lord of Ganas (demi-gods), Giver of peace,
O Lord Sathya Sai, You are the supreme Being, You are the Form of Om, Lord of Puttaparthi"
Ganesha,"Baala Gajanana Namo Namo 
Vighna Vinashaka Namo Namo 
Parvathi Nandana Namo Namo 
Siddhi Vinayaka Buddhi Pradayaka 
Vijaya Gajanana Namo Namo 
Gangaadhara Suta Namo Namo 
Lambodara He Namo Namo","Reverential salutations to You, Young Ganesh, destroyer of
obstacles, son of Parvathi and Shiva; Granter of spiritual 
attainments and bestower of intellect, discrimination and 
determination, Victorious Ganesha, our salutations to Thee!"
Ganesha,"Bhaktha Vighna Vinashaka Bhukthi Mukthi Pradayaka 
Bhaktha Kankshita Dayaka Bhava Bhakthi Pradayaka 
Hey Dayaa Nidhe Ganapathe Deenabandhu Kripaa Nidhe 
Ashta Siddhi Vinayaka Ishta Moksha Pradayaka 
Ashta Sampada Daayaka Srishtipala Vinayaka","Oh Vinayaka (Ganesha) dispeller of all obstructions of devotees,
The bestower of Liberation; You provide everything desired by devotees; 
You are the bestower of Devotion; Hey Ganesha, Thou art full of mercy and compassion; 
You are the friend of the meek; You bestow the eight boons, You bestow Liberation; 
Hey Ganesha, Thou art verily the keeper of creation"
Ganesha,"Bhavani Nandana Baala Gajanana 
Pranava Swaroopa Paahi 
Hey Parthipureeshwara Paahi (Sai)","O Son of Mother Bhavani, Lord Gajanana! Kindly grant protection. O Lord of Parthi."
Ganesha,"Chandra Kalaadhara Gauri Shivaatmaja 
Gajavadana Gananatha Shubhaanana 
Pranavaakara Pashupati Nandana 
Paahi Prabho Mam Paahi Gajanana","The offspring of Gauri (Parvathi) and Shiva (adorned by the moon)
Gajavadana (the elephant faced One), Gananatha (the chief of Ganas) 
Shubhaanana (the one who causes auspicious things to happen) 
You are the form of Primal Sound (Om), son of Pashupati (Shiva) 
Protect us Oh Lord, Protect us Oh Gajanana (Ganesha"
Ganesha,"Gaja Mukha Gaja Mukha Gananatha 
Sura Muni Vanditha Guna Sheela","Our salutations to) the elephant faced Lord Ganesha, endowed with
the best of qualities, who is Chief of the Ganas or demi-gods, and is worshipped alike by sages and saints."
Ganesha,"Gaja Vadana Gajanana 
Gauri Thanaya Gajanana 
Jai Jai Jai Gajanana 
Jai Jai Jai Gajanana 
Devaadhi Deva Gajanana 
Gauri Thanaya Gajanana","Victory to Lord of Lords - Lord Gajanana, beloved son of Mother Gauri.
Chant the name of Elephant faced Lord Gajanana)."
Ganesha,"Gaja Vadana Gananatha 
Hey Gana Naathha 
Gauri Thanaya Dayaa Maya 
Gaja Vadana Gananatha 
Bhuvanaadhara Pranava Swaroopa 
Paalaya Paalaya Parthipureesha","Protect, Protect O Lord of Parthi! Thou art the Lord of
Creation and life force of all Beings, Prince of Mother Gauri, 
Elephant-faced One and Lord of all Lords, Thou art extremely merciful."
Ganesha,"Gaja Vadana Gananatha Gajanana 
Siddhi Vinayaka Baala Gajanana 
Mangala Karo Prabhu Vijaya Gajanana 
Jaya Hey Shambho Shankara Nandana 
Sura Nara Vanditha Poojya Gajanana","Hey Gajanana (Ganesha), the elephant faced One, the chieftain of the ganas;
Vinayaka (Ganesha), the One who helps us attain accomplishments, the child Ganesha; Victory to Thee Ganesha; 
Oh Lord, bring auspiciousness; Victory to Thee - the son of Shiva; 
You are worshipped by both Gods and mortals, the most holy Ganesha!"
