SNo,Bhajan,Shruti,Raga,Difficulty
38,Anupama Sundara Nanda Kishora,2.5P,Brindavan Sarang,
47,Ayodhya Ke Sita Rama Brindavan Ke Radhe Shyam,2P,Brindavan Sarang,
401,Jaya Jagadeesha Jaya Paramesha Neelakantha Sadashiva,2.5P,Brindavan Sarang,
504,Krishna Rama Govinda Gokula Nandana Gopala,2P,Brindavan Sarang,
772,Rama Sai Rama (3) (Brindavani Sarang),2P,Brindavan Sarang,
860,Shankara (2) Samba Sadashiva Shankara (2) Shambho,3P,Brindavan Sarang,
902,Shyama Sundara Madana Mohana Radhe Gopal (6bt),1.5P,Brindavan Sarang,
914,Sri Guru Parthivasa (6bt),2P,Brindavan Sarang,
963,Vanamali Vasudeva Jagan Mohan Radha Ramana,4M,Brindavan Sarang,
980,Vishnu Sachchidananda Venu Gopala Bala,2.5P,Brindavan Sarang,
42,Aruna Ramana Sri Gurudeva,3P,Charukeshi,
286,Hari Naam Gaate Chalo,1.5M,Charukeshi,
345,Jagadeeshwari Daya karo Maa (6bt),3M,Charukeshi,
467,Kalyana Ranga Kamaneeya Ranga (6bt),2P,Charukeshi,
473,Kanha Kanhayya Bansi Adhariya,2.5M,Charukeshi,
508,Lambodara Gananatha Gajanana,3M,Charukeshi,
521,Madhava Mohana Shyama Murari,2P,Charukeshi,
522,Madhava Murahara Murali Gopala,2M,Charukeshi,
617,Nanda Nandana Navaneeta Chora (6bt),2P,Charukeshi,
642,O Bhagawan o Bhagawan Araja Suno Mere Sai Bhagawan,1.5M,Charukeshi,
670,Parthishwara Sathya Saishwara,3P,Charukeshi,
685,Pratah Smaranam Sri Ramam,2P,Charukeshi,
711,Radhe (3) Radhe Govinda,2P,Charukeshi,
716,Radhe Krishna (2) Jai Sri Krishna Radhe (2) (6bt),3P,Charukeshi,
780,Sada Nirantara Hari Guna Gao,2.5M,Charukeshi,
786,Sai Avatara Yugavatara,3M,Charukeshi,
798,Sai Mata Parthishwari (6bt),2P,Charukeshi,
801,Sai Nama Bolo Govinda Naam Bolo (6bt),3P,Charukeshi,
924,Sri Rama Chandra Jaya Rama Chandra (6bt),2P,Charukeshi,
145,Deena Dukhiyon Se Prem Karo Mera Sai Prasanna Hoga,2.5M,Charukeshi,
5,Aao Pyare Nayana Hamare,7P,Darbari,
40,Aravinda Lochana,1.5M,Darbari,
87,Bhakta Vatsala Tero Naam,2M,Darbari,
115,Dama Dama Dama Dama Damaru Baje... Nache Shankara Nache Re,1.5P,Darbari,
119,Dasharatha Nandana Rama,2M,Darbari,
130,Daya Karo Hari Narayana Kripa Karo Hey Jagavandana,3M,Darbari,
151,Devasena Pathe Skanda,1M,Darbari,
180,Gananatha Pahi Gajanana (7bt),2P,Darbari,
223,Govinda Hare Gopala Hare Govinda Hare Avatara Hare,3P,Darbari,
231,Govinda Madhava Gopala Keshava,2P,Darbari,
250,Guru Deva Priya Deva,2P,Darbari,
263,Hara Hara Shankara Samba Sada Shiva Esha Mahesha,2P,Darbari,
290,Hari Om (3) Narayana,2.5P,Darbari,
312,Hey Krishna Madhava Govinda Gopala,7P,Darbari,
318,Hey Nirakari Allah,2M,Darbari,
364,Jai Jai Gurudeva Sri Sai Mahadeva,2P,Darbari,
382,Janani Maa Sai Janani Maa,2P,Darbari,
396,Jayaho Jayaho Gopalana,3M,Darbari,
409,Jaya Jaya Hey Jagadeesha Mahesha,2P,Darbari,
427,Jaya Maa (2) jagadeeshwari Sai Maa,2P,Darbari,
464,Kaliyuga Avatara Sai Bhagavan,2P,Darbari,
512,Lambodara Jaya Gajanana,2P,Darbari,
558,Mangala Shubhakari Mata Maheshwari,3P,Darbari,
575,Mujhe Darasha Dikhao Bhagavan,2P,Darbari,
694,Prema mudita manase kaho (6bt),2M,Darbari,
697,Prema Se Gao Pavana Naam,3P,Darbari,
707,Radha Pyare Jaya Gopal,2M,Darbari,
746,Ramachandra Raghuveera Ramachandra Ranadheera,1P,Darbari,
773,Rama Sri Rama Chandra Jaya (2) Rama (6bt),2P,Darbari,
782,Sadguru Brahma Sanathana Hey,3P,Darbari,
255,Guruvara Naam Paavana Naam,2P,Darbari,
32,Ananda Sagara Muralidhara (6bt),2.5M,Hindolam,
76,Bhajo Bhajo Vittala Panduranga Vittala,1M,Hindolam,
135,Daya Karo Shiva Gangadhari,2.5M,Hindolam,
158,Dhimita Dhimita Dhim,1M,Hindolam,
165,Eshwaramba Priya Tanaya Eesha Mahesha Sri Saisha,1.5M,Hindolam,
243,Gowri Nandana Bal Gajanana,2.5M,Hindolam,
247,Gowrivara Gangadhara Shambho Shiva Hara Bimbadhara,3M,Hindolam,
292,Hari Om namah Shivaya (malkauns),1.5M,Hindolam,
400,Jaya Jagadeesha Hare Prabhuvara,2.5M,Hindolam,
403,Jaya Jaya Deva Jagadeesha Deva,1.5M,Hindolam,
410,Jaya jaya jaya hey Gajanana (malkauns),2M,Hindolam,
447,Jaya Sai Shankara Jaya Abhayankara,2.5M,Hindolam,
466,Kalyana Rama Ananda Rama,2.5M,Hindolam,
