Bhajan,Deity,Meaning,Level,Tempo,Language,Raga
Amba Bhavani Shiva Shambhu Kumaara ,Ganesha,"Beloved Son of Shivaa and Parvati; O Lord Ganesha, Lord of Ganas (demi-gods), Giver of peace,
O Lord Sathya Sai, You are the supreme Being, You are the Form of Om, Lord of Puttaparthi",intermediate,medium fast,sanskrit / hindi,jaunpuri
Bhavani Nandana Baala Gajanana ,Ganesha,"O Son of Mother Bhavani, Lord Gajanana! Kindly grant protection. O Lord of Parthi.",intermediate,medium fast,sanskrit / hindi,maand
Gaja Vadana Gananatha ,Ganesha,"Protect, Protect O Lord of Parthi! Thou art the Lord of
Creation and life force of all Beings, Prince of Mother Gauri, 
Elephant-faced One and Lord of all Lords, Thou art extremely merciful.",intermediate,medium slow,sanskrit / hindi,harikamboji
Gaja Vadana Gananatha Gajanana ,Ganesha,"Hey Gajanana (Ganesha), the elephant faced One, the chieftain of the ganas;
Vinayaka (Ganesha), the One who helps us attain accomplishments, the child Ganesha; Victory to Thee Ganesha; 
Oh Lord, bring auspiciousness; Victory to Thee - the son of Shiva; 
You are worshipped by both Gods and mortals, the most holy Ganesha!",,,sanskrit / hindi,
Gaja Vadana Gananatha Naatha ,Ganesha,"O Elephant-faced Lord! Lord of Demi-Gods and beloved Son of
Mother Gauri; Thou art extremely merciful. You grant auspiciousness and gifts.",intermediate,medium,sanskrit / hindi,shankarabharanam / bilawal
Gaja Vadana Gananatha Naatha ,Ganesha,"O Elephant-faced Lord! Lord of Demi-Gods and beloved Son of
Mother Gauri; Thou art extremely merciful. You grant auspiciousness and gifts.",intermediate,medium,sanskrit / hindi,hamsanandi / sohini
Gajanana Hey Gajanana ,Ganesha,"Oh Gajanana (Ganesha), son of Gauri (Parvathi);
Oh Son of Shiva, Victory to the One who is revered by the whole world; 
You are the one who bestows knowledge and intelligence; Hey Gajanana, You are the Lord of Puttaparthi",intermediate,medium,sanskrit / hindi,madhuvanti
Gajanana Hey Shubhaanana ,Ganesha,"Hey Gajanana (Ganesha), the auspicious One; The beautiful and Beloved son of Gauri (Parvathi);
Oh Gajanana (Ganesha) son of Pashupathi (Shiva) Thou art supremely faultless and the auspicious One",intermediate,medium,sanskrit / hindi,vakulabharanam / basant mukhari
Gajanana Hey Shubhaanana ,Ganesha,"Hey Gajanana (Ganesha), the auspicious One; The beautiful and Beloved son of Gauri (Parvathi);
Oh Gajanana (Ganesha) son of Pashupathi (Shiva) Thou art supremely faultless and the auspicious One",intermediate,medium,sanskrit / hindi,yaman kalyan
Gajanana Hey Shubhaanana ,Ganesha,"Pray and worship Lord Sai Gajanana, destroyer of all obstacles,
bestower of success and life force of all beings).",intermediate,medium,sanskrit / hindi,vakulabharanam / basant mukhari
Gajanana Hey Shubhaanana ,Ganesha,"Pray and worship Lord Sai Gajanana, destroyer of all obstacles,
bestower of success and life force of all beings).",intermediate,medium,sanskrit / hindi,yaman kalyan
Gananatha Gananatha ,Ganesha,"I seek refuge in You, Ganesha. You are the God with super
natural powers. You are the Lord who gives liberation to people. 
You are the One who uplifts the whole world. Victory to You, Lord Ganesha.",advanced,medium slow,sanskrit / hindi,sindhu bhairavi / bhairavi
Ganapathi Om Jaya Ganapathi Om ,Ganesha,"Victory to Thee, Oh Ganesha! The elephant faced One, the bestower of boons;
Gajaana (Ganesha), the One who has the mouse as His vehicle, 
Ganesha, the One has a modhaka (a sweet preparation) in His hand; Oh Gajanana - I prostrate at Thy Lotus feet",advanced,medium,sanskrit / hindi,mohanam / bhoop
Ganesha Sharanam Parama Paavanam Sathya Sainam Gajananam ,Ganesha,"To Ganesh, bow in reverence, bow in absolute purity, to the
name of Sai, to the elephant-faced Ganesh; Constantly remember 
the purifying name of Sai, remember the elephant-faced Lord 
Ganesh; The feet of the guru are purifying, as is the name of 
Sai and Ganesh, the elephant-faced Lord; All fears are destroyed 
by the supremely pure name of Sai and by the elephant-faced Lord Ganesh).",intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Ganesha Sharanam Parama Paavanam Sathya Sainam Gajananam ,Ganesha,"To Ganesh, bow in reverence, bow in absolute purity, to the
name of Sai, to the elephant-faced Ganesh; Constantly remember 
the purifying name of Sai, remember the elephant-faced Lord 
Ganesh; The feet of the guru are purifying, as is the name of 
Sai and Ganesh, the elephant-faced Lord; All fears are destroyed 
by the supremely pure name of Sai and by the elephant-faced Lord Ganesh).",intermediate,medium,sanskrit / hindi,sindhu bhairavi / bhairavi
Ganesha Sharanam Sharanam Ganesha ,Ganesha,"Surrender to Lord Ganesha, Surrender to Lord Sai",simple,medium fast,sanskrit / hindi,hamsadhwani
Hey Gananatha Gajanana ,Ganesha,"O, elephant faced Lord of the Ganas (demi-gods); O Vinayaka, the son of Parvati
The Lord who bestows success, We chant Thy Name",advanced,medium,sanskrit / hindi,keeravani
Jai Jai Jai Gana Naayaka Jai Jai Vighna Vinashaka ,Ganesha,"Glory to the leader of the Ganas, to the destroyer of obstacles;
To the bestower of good fortune and one who grants intelligence; 
To Gauri's son Ganesh with the elephant face, son of Shiva who bears the Ganges river",simple,medium fast,sanskrit / hindi,natabhairavi
Jai Jai Jai Jai Ganapathi Deva ,Ganesha,"Glory to the Lord of the Ganas; Ganesha who has the head of an
elephant; His mother is Parvati, his father, Shiva.",simple,fast,sanskrit / hindi,shankarabharanam / bilawal
Jaya Deva Jaya Deva Jaya Jaya Ganapathi Deva ,Ganesha,"Glory to Lord Ganesha, The Leader of the ""Ganas"" (Ganas: volunteers of Lord Shiva)
The Giver of Knowledge and Promoter of intellect, Also the Giver of prosperity and achievements 
Victory to the Lord with the long nose, Whose vehicle is the mouse, The Son of Mother Gauri",,,sanskrit / hindi,
Jaya Ho Jaya Ho Mooshika Vaahana ,Ganesha,"Victory to Lord Vinayaka, beloved son of Lord Shiva and Parvati.
He is always appeased and worshipped first. O Grantor of Success! 
I surrender at Thy Lotus Feet. Thou art the destroyer of all obstacles",intermediate,medium slow,sanskrit / hindi,yaman kalyan
Jaya Jaya Girija Baala Gajanana ,Ganesha,"Victory to Thee, Hey boy Gajanana (Ganesha). Victory to Thee,
son of Shiva and Parvathi. Thou art the remover of all obstacles, 
the bestower of victory. You are worshipped by all; You have 
a pleasant face. We seek refuge at Thy Feet, Oh Gajanana",advanced,medium,sanskrit / hindi,hamsadhwani
Jaya Jaya Jaya Hey Gajanana ,Ganesha,"Victory to Gajanana, the elephnat faced God,
whose Mother is Parvati and father is Lord Shiva,
the Prince of all creation and creatures, The One we worship first",intermediate,medium,sanskrit / hindi,hindolam / malkauns
Jaya Jaya Jaya Hey Gajanana ,Ganesha,"Victory to Gajanana, the elephnat faced God,
whose Mother is Parvati and father is Lord Shiva,
the Prince of all creation and creatures, The One we worship first",intermediate,medium fast,sanskrit / hindi,mohanam / bhoop
Jaya Lambodhara Pahimaam ,Ganesha,"Victory to Lord Ganesh. O Beloved Prince of the Mother of Universe (Amba)
I surrender to Thee. Kindly protect me. 
O Compassionate One! Guard and protect me. Grant me devotion",intermediate,medium fast,sanskrit / hindi,khamas
Lambodara Hey Vigneshwara ,Ganesha,"Ganesh, remover of obstacles, the big-bellied Lord, who confers success
son of Shiva, son of Ambika, Lord Sai of Shirdi and Parthi.",simple,medium fast,sanskrit / hindi,yaman kalyan
Lambodara Jaya Gajanana ,Ganesha,"Hey Lambodara (pot bellied One), victory to You, hey Gajaaanana!
Hey son of Parvati, the personification of compassion, 
the One who liberates (devotees) from bondage and the cycle 
of birth and death, the One with the Primival form, Son of 
Shiva, please protect me, Lord, please protect Lord Ganesha",advanced,medium slow,sanskrit / hindi,darbari
Maha Ganapathey Namosthuthey ,Ganesha,"I bow to Ganesha, the one with the elephant-face, son of Parvati, Lord of Om.",intermediate,medium fast,sanskrit / hindi,mohanam / bhoop
Maha Ganapathey Namosthuthey ,Ganesha,"I bow to Ganesha, the one with the elephant-face, son of Parvati, Lord of Om.",advanced,medium,sanskrit / hindi,hamsadhwani
